,ori,data_year,offense,state_abbr,cleared,actual
17,CO0030500,2017,property-crime,CO,0,25
18,CO0030600,2017,property-crime,CO,0,5
19,CO0030700,2017,property-crime,CO,128,693
0,CO0010000,2018,property-crime,CO,260,2581
1,CO0010100,2018,property-crime,CO,1674,11126
2,CO0010200,2018,property-crime,CO,232,1266
3,CO0010300,2018,property-crime,CO,352,1851
4,CO0010400,2018,property-crime,CO,1123,4765
5,CO0010500,2018,property-crime,CO,764,3684
6,CO0010600,2018,property-crime,CO,115,1376
7,CO0010800,2018,property-crime,CO,66,561
8,CO0011100,2018,property-crime,CO,13,115
9,CO0020100,2018,property-crime,CO,188,553
10,CO0020200,2018,property-crime,CO,6,32
11,CO0030000,2018,property-crime,CO,133,1919
12,CO0030100,2018,property-crime,CO,440,2145
13,CO0030200,2018,property-crime,CO,154,1566
14,CO0030300,2018,property-crime,CO,160,548
15,CO0030400,2018,property-crime,CO,328,839
16,CO0030500,2018,property-crime,CO,6,72
17,CO0030600,2018,property-crime,CO,1,9
18,CO0030700,2018,property-crime,CO,144,732
19,CO0030800,2018,property-crime,CO,1,7
0,CO0010000,2019,property-crime,CO,285,2845
1,CO0010100,2019,property-crime,CO,1792,11106
2,CO0010200,2019,property-crime,CO,174,1119
3,CO0010300,2019,property-crime,CO,329,1845
4,CO0010400,2019,property-crime,CO,1121,4303
5,CO0010500,2019,property-crime,CO,831,3713
6,CO0010600,2019,property-crime,CO,90,1229
7,CO0010800,2019,property-crime,CO,33,406
8,CO0011100,2019,property-crime,CO,14,101
9,CO0020100,2019,property-crime,CO,184,511
10,CO0020200,2019,property-crime,CO,4,30
11,CO0030000,2019,property-crime,CO,51,1476
12,CO0030100,2019,property-crime,CO,401,1843
13,CO0030200,2019,property-crime,CO,160,1372
14,CO0030300,2019,property-crime,CO,145,450
15,CO0030400,2019,property-crime,CO,308,936
16,CO0030500,2019,property-crime,CO,7,74
17,CO0030600,2019,property-crime,CO,0,10
18,CO0030700,2019,property-crime,CO,74,514
19,CO0030800,2019,property-crime,CO,0,7
0,CT0000200,2010,violent-crime,CT,11,28
1,CT0000400,2010,violent-crime,CT,3,6
2,CT0000700,2010,violent-crime,CT,14,17
3,CT0000900,2010,violent-crime,CT,3,5
4,CT0001100,2010,violent-crime,CT,27,42
5,CT0001400,2010,violent-crime,CT,31,37
6,CT0001500,2010,violent-crime,CT,469,1412
7,CT0001700,2010,violent-crime,CT,130,200
8,CT0001800,2010,violent-crime,CT,4,5
9,CT0002300,2010,violent-crime,CT,4,5
10,CT0002500,2010,violent-crime,CT,12,12
11,CT0002700,2010,violent-crime,CT,8,17
12,CT0003200,2010,violent-crime,CT,5,7
13,CT0003300,2010,violent-crime,CT,7,17
14,CT0003400,2010,violent-crime,CT,35,116
15,CT0003500,2010,violent-crime,CT,0,1
16,CT0003700,2010,violent-crime,CT,28,36
17,CT0004200,2010,violent-crime,CT,6,9
18,CT0004300,2010,violent-crime,CT,106,187
19,CT0004400,2010,violent-crime,CT,17,43
0,CT0000200,2011,violent-crime,CT,9,31
1,CT0000400,2011,violent-crime,CT,0,0
2,CT0000700,2011,violent-crime,CT,14,15
3,CT0000900,2011,violent-crime,CT,2,1
4,CT0001100,2011,violent-crime,CT,19,46
5,CT0001400,2011,violent-crime,CT,17,26
6,CT0001500,2011,violent-crime,CT,508,1447
7,CT0001700,2011,violent-crime,CT,45,120
8,CT0001800,2011,violent-crime,CT,7,10
9,CT0002300,2011,violent-crime,CT,2,3
10,CT0002500,2011,violent-crime,CT,10,12
11,CT0002700,2011,violent-crime,CT,10,19
12,CT0003200,2011,violent-crime,CT,8,15
13,CT0003300,2011,violent-crime,CT,0,6
14,CT0003400,2011,violent-crime,CT,43,164
15,CT0003500,2011,violent-crime,CT,4,6
16,CT0003700,2011,violent-crime,CT,11,22
17,CT0004200,2011,violent-crime,CT,8,11
18,CT0004300,2011,violent-crime,CT,96,174
19,CT0004400,2011,violent-crime,CT,7,25
0,CT0000200,2012,violent-crime,CT,12,30
1,CT0000400,2012,violent-crime,CT,3,5
2,CT0000700,2012,violent-crime,CT,13,21
3,CT0000900,2012,violent-crime,CT,2,6
4,CT0001100,2012,violent-crime,CT,14,32
5,CT0001400,2012,violent-crime,CT,9,21
6,CT0001500,2012,violent-crime,CT,552,1760
7,CT0001700,2012,violent-crime,CT,35,94
8,CT0001800,2012,violent-crime,CT,2,2
9,CT0002300,2012,violent-crime,CT,1,1
10,CT0002500,2012,violent-crime,CT,2,4
11,CT0002700,2012,violent-crime,CT,17,27
12,CT0003200,2012,violent-crime,CT,0,3
13,CT0003300,2012,violent-crime,CT,4,11
14,CT0003400,2012,violent-crime,CT,25,109
15,CT0003500,2012,violent-crime,CT,2,2
16,CT0003700,2012,violent-crime,CT,13,29
17,CT0004200,2012,violent-crime,CT,1,5
18,CT0004300,2012,violent-crime,CT,103,192
19,CT0004400,2012,violent-crime,CT,15,32
0,CT0000200,2013,violent-crime,CT,10,33
1,CT0000400,2013,violent-crime,CT,3,12
2,CT0000700,2013,violent-crime,CT,12,15
3,CT0000900,2013,violent-crime,CT,1,3
4,CT0001100,2013,violent-crime,CT,23,47
5,CT0001400,2013,violent-crime,CT,16,17
6,CT0001500,2013,violent-crime,CT,757,1397
7,CT0001700,2013,violent-crime,CT,50,82
8,CT0001800,2013,violent-crime,CT,4,9
9,CT0002300,2013,violent-crime,CT,1,3
10,CT0002500,2013,violent-crime,CT,2,2
11,CT0002700,2013,violent-crime,CT,14,21
12,CT0003200,2013,violent-crime,CT,2,9
13,CT0003300,2013,violent-crime,CT,3,9
14,CT0003400,2013,violent-crime,CT,37,108
15,CT0003500,2013,violent-crime,CT,2,2
16,CT0003700,2013,violent-crime,CT,13,20
17,CT0004200,2013,violent-crime,CT,4,5
18,CT0004300,2013,violent-crime,CT,117,182
19,CT0004400,2013,violent-crime,CT,9,31
0,CT0000200,2014,violent-crime,CT,14,38
1,CT0000400,2014,violent-crime,CT,10,2
2,CT0000700,2014,violent-crime,CT,9,11
3,CT0000900,2014,violent-crime,CT,0,0
4,CT0001100,2014,violent-crime,CT,26,40
5,CT0001400,2014,violent-crime,CT,16,25
6,CT0001500,2014,violent-crime,CT,465,1338
7,CT0001700,2014,violent-crime,CT,34,73
8,CT0001800,2014,violent-crime,CT,2,3
9,CT0002300,2014,violent-crime,CT,1,2
10,CT0002500,2014,violent-crime,CT,5,8
11,CT0002700,2014,violent-crime,CT,13,18
12,CT0003200,2014,violent-crime,CT,8,9
13,CT0003300,2014,violent-crime,CT,4,7
14,CT0003400,2014,violent-crime,CT,42,150
15,CT0003500,2014,violent-crime,CT,3,5
16,CT0003700,2014,violent-crime,CT,15,24
17,CT0004200,2014,violent-crime,CT,2,3
18,CT0004300,2014,violent-crime,CT,70,136
19,CT0004400,2014,violent-crime,CT,11,33
0,CT0000200,2015,violent-crime,CT,11,25
1,CT0000400,2015,violent-crime,CT,1,2
2,CT0000700,2015,violent-crime,CT,5,15
3,CT0000900,2015,violent-crime,CT,2,4
4,CT0001100,2015,violent-crime,CT,36,59
5,CT0001400,2015,violent-crime,CT,9,17
6,CT0001500,2015,violent-crime,CT,280,996
7,CT0001700,2015,violent-crime,CT,42,79
8,CT0001800,2015,violent-crime,CT,4,6
9,CT0002300,2015,violent-crime,CT,0,1
10,CT0002500,2015,violent-crime,CT,8,9
11,CT0002700,2015,violent-crime,CT,13,18
12,CT0003200,2015,violent-crime,CT,0,1
13,CT0003300,2015,violent-crime,CT,5,11
14,CT0003400,2015,violent-crime,CT,71,162
15,CT0003500,2015,violent-crime,CT,0,3
16,CT0003700,2015,violent-crime,CT,19,31
17,CT0004200,2015,violent-crime,CT,1,4
18,CT0004300,2015,violent-crime,CT,102,169
19,CT0004400,2015,violent-crime,CT,19,27
0,CT0000200,2016,violent-crime,CT,10,28
1,CT0000400,2016,violent-crime,CT,1,1
2,CT0000700,2016,violent-crime,CT,12,20
3,CT0000900,2016,violent-crime,CT,1,1
4,CT0001100,2016,violent-crime,CT,32,52
5,CT0001400,2016,violent-crime,CT,8,10
6,CT0001500,2016,violent-crime,CT,379,1115
7,CT0001700,2016,violent-crime,CT,33,57
8,CT0001800,2016,violent-crime,CT,9,10
9,CT0002300,2016,violent-crime,CT,0,0
10,CT0002500,2016,violent-crime,CT,5,4
11,CT0002700,2016,violent-crime,CT,12,20
12,CT0003200,2016,violent-crime,CT,3,3
13,CT0003300,2016,violent-crime,CT,6,7
14,CT0003400,2016,violent-crime,CT,86,161
15,CT0003500,2016,violent-crime,CT,0,1
16,CT0003700,2016,violent-crime,CT,12,39
17,CT0004200,2016,violent-crime,CT,3,4
18,CT0004300,2016,violent-crime,CT,84,148
19,CT0004400,2016,violent-crime,CT,12,33
0,CT0000200,2017,violent-crime,CT,12,24
1,CT0000400,2017,violent-crime,CT,0,2
2,CT0000700,2017,violent-crime,CT,18,27
3,CT0000900,2017,violent-crime,CT,6,11
4,CT0001100,2017,violent-crime,CT,18,45
5,CT0001400,2017,violent-crime,CT,14,16
6,CT0001500,2017,violent-crime,CT,441,1315
7,CT0001700,2017,violent-crime,CT,22,68
8,CT0001800,2017,violent-crime,CT,2,3
9,CT0002300,2017,violent-crime,CT,1,2
10,CT0002500,2017,violent-crime,CT,3,3
11,CT0002700,2017,violent-crime,CT,19,21
12,CT0003200,2017,violent-crime,CT,3,4
13,CT0003300,2017,violent-crime,CT,5,12
14,CT0003400,2017,violent-crime,CT,104,182
15,CT0003500,2017,violent-crime,CT,3,3
16,CT0003700,2017,violent-crime,CT,24,44
17,CT0004200,2017,violent-crime,CT,5,5
18,CT0004300,2017,violent-crime,CT,60,154
19,CT0004400,2017,violent-crime,CT,19,47
0,CT0000200,2018,violent-crime,CT,8,29
1,CT0000400,2018,violent-crime,CT,4,6
2,CT0000700,2018,violent-crime,CT,7,15
3,CT0000900,2018,violent-crime,CT,5,5
4,CT0001100,2018,violent-crime,CT,35,70
5,CT0001400,2018,violent-crime,CT,12,17
6,CT0001500,2018,violent-crime,CT,253,1020
7,CT0001700,2018,violent-crime,CT,39,69
8,CT0001800,2018,violent-crime,CT,4,5
9,CT0002300,2018,violent-crime,CT,0,1
10,CT0002500,2018,violent-crime,CT,4,8
11,CT0002700,2018,violent-crime,CT,1,3
12,CT0003200,2018,violent-crime,CT,4,14
13,CT0003300,2018,violent-crime,CT,2,9
14,CT0003400,2018,violent-crime,CT,103,154
15,CT0003500,2018,violent-crime,CT,3,4
16,CT0003700,2018,violent-crime,CT,20,41
17,CT0004200,2018,violent-crime,CT,6,13
18,CT0004300,2018,violent-crime,CT,57,135
19,CT0004400,2018,violent-crime,CT,14,24
0,CT0000200,2019,violent-crime,CT,12,43
1,CT0000400,2019,violent-crime,CT,4,4
2,CT0000700,2019,violent-crime,CT,10,20
3,CT0000900,2019,violent-crime,CT,6,7
4,CT0001100,2019,violent-crime,CT,18,32
5,CT0001400,2019,violent-crime,CT,5,10
6,CT0001500,2019,violent-crime,CT,211,898
7,CT0001700,2019,violent-crime,CT,28,59
8,CT0001800,2019,violent-crime,CT,2,5
9,CT0002300,2019,violent-crime,CT,2,6
10,CT0002500,2019,violent-crime,CT,13,17
11,CT0002700,2019,violent-crime,CT,5,15
12,CT0003200,2019,violent-crime,CT,10,17
13,CT0003300,2019,violent-crime,CT,5,6
14,CT0003400,2019,violent-crime,CT,76,109
15,CT0003500,2019,violent-crime,CT,3,3
16,CT0003700,2019,violent-crime,CT,15,27
17,CT0004200,2019,violent-crime,CT,5,3
18,CT0004300,2019,violent-crime,CT,44,87
19,CT0004400,2019,violent-crime,CT,16,40
0,CT0000200,2010,property-crime,CT,50,327
1,CT0000400,2010,property-crime,CT,36,186
2,CT0000700,2010,property-crime,CT,65,342
3,CT0000900,2010,property-crime,CT,47,195
4,CT0001100,2010,property-crime,CT,120,546
5,CT0001400,2010,property-crime,CT,195,807
6,CT0001500,2010,property-crime,CT,428,4683
7,CT0001700,2010,property-crime,CT,170,1335
8,CT0001800,2010,property-crime,CT,21,142
9,CT0002300,2010,property-crime,CT,34,114
10,CT0002500,2010,property-crime,CT,61,315
11,CT0002700,2010,property-crime,CT,103,391
12,CT0003200,2010,property-crime,CT,10,167
13,CT0003300,2010,property-crime,CT,42,354
14,CT0003400,2010,property-crime,CT,281,1515
15,CT0003500,2010,property-crime,CT,24,142
16,CT0003700,2010,property-crime,CT,96,373
17,CT0004200,2010,property-crime,CT,29,160
18,CT0004300,2010,property-crime,CT,232,1546
19,CT0004400,2010,property-crime,CT,185,954
0,CT0000200,2011,property-crime,CT,86,373
1,CT0000400,2011,property-crime,CT,22,180
2,CT0000700,2011,property-crime,CT,61,380
3,CT0000900,2011,property-crime,CT,59,306
4,CT0001100,2011,property-crime,CT,106,527
5,CT0001400,2011,property-crime,CT,185,752
6,CT0001500,2011,property-crime,CT,375,5607
7,CT0001700,2011,property-crime,CT,242,1502
8,CT0001800,2011,property-crime,CT,38,200
9,CT0002300,2011,property-crime,CT,34,109
10,CT0002500,2011,property-crime,CT,63,286
11,CT0002700,2011,property-crime,CT,91,318
12,CT0003200,2011,property-crime,CT,18,194
13,CT0003300,2011,property-crime,CT,68,342
14,CT0003400,2011,property-crime,CT,391,1588
15,CT0003500,2011,property-crime,CT,38,150
16,CT0003700,2011,property-crime,CT,70,374
17,CT0004200,2011,property-crime,CT,33,245
18,CT0004300,2011,property-crime,CT,227,1403
19,CT0004400,2011,property-crime,CT,134,837
0,CT0000200,2012,property-crime,CT,106,459
1,CT0000400,2012,property-crime,CT,37,168
2,CT0000700,2012,property-crime,CT,45,311
3,CT0000900,2012,property-crime,CT,75,321
4,CT0001100,2012,property-crime,CT,117,522
5,CT0001400,2012,property-crime,CT,143,678
6,CT0001500,2012,property-crime,CT,507,5153
7,CT0001700,2012,property-crime,CT,317,1591
8,CT0001800,2012,property-crime,CT,60,191
9,CT0002300,2012,property-crime,CT,22,92
10,CT0002500,2012,property-crime,CT,54,271
11,CT0002700,2012,property-crime,CT,64,302
12,CT0003200,2012,property-crime,CT,33,170
13,CT0003300,2012,property-crime,CT,44,292
14,CT0003400,2012,property-crime,CT,347,1562
15,CT0003500,2012,property-crime,CT,27,101
16,CT0003700,2012,property-crime,CT,79,392
17,CT0004200,2012,property-crime,CT,25,148
18,CT0004300,2012,property-crime,CT,260,1574
19,CT0004400,2012,property-crime,CT,143,879
0,CT0000200,2013,property-crime,CT,83,393
1,CT0000400,2013,property-crime,CT,19,143
2,CT0000700,2013,property-crime,CT,65,281
3,CT0000900,2013,property-crime,CT,57,180
4,CT0001100,2013,property-crime,CT,120,485
5,CT0001400,2013,property-crime,CT,174,635
6,CT0001500,2013,property-crime,CT,400,4464
7,CT0001700,2013,property-crime,CT,249,1399
8,CT0001800,2013,property-crime,CT,26,162
9,CT0002300,2013,property-crime,CT,26,74
10,CT0002500,2013,property-crime,CT,61,202
11,CT0002700,2013,property-crime,CT,66,266
12,CT0003200,2013,property-crime,CT,13,147
13,CT0003300,2013,property-crime,CT,88,277
14,CT0003400,2013,property-crime,CT,255,1257
15,CT0003500,2013,property-crime,CT,26,80
16,CT0003700,2013,property-crime,CT,70,315
17,CT0004200,2013,property-crime,CT,21,139
18,CT0004300,2013,property-crime,CT,217,1445
19,CT0004400,2013,property-crime,CT,126,755
0,CT0000200,2014,property-crime,CT,67,373
1,CT0000400,2014,property-crime,CT,53,171
2,CT0000700,2014,property-crime,CT,83,306
3,CT0000900,2014,property-crime,CT,45,164
4,CT0001100,2014,property-crime,CT,104,514
5,CT0001400,2014,property-crime,CT,170,664
6,CT0001500,2014,property-crime,CT,343,4285
7,CT0001700,2014,property-crime,CT,324,1507
8,CT0001800,2014,property-crime,CT,35,162
9,CT0002300,2014,property-crime,CT,18,75
10,CT0002500,2014,property-crime,CT,57,240
11,CT0002700,2014,property-crime,CT,51,261
12,CT0003200,2014,property-crime,CT,12,135
13,CT0003300,2014,property-crime,CT,89,308
14,CT0003400,2014,property-crime,CT,287,1355
15,CT0003500,2014,property-crime,CT,24,190
16,CT0003700,2014,property-crime,CT,85,332
17,CT0004200,2014,property-crime,CT,17,74
18,CT0004300,2014,property-crime,CT,207,1222
19,CT0004400,2014,property-crime,CT,105,719
0,CT0000200,2015,property-crime,CT,68,354
1,CT0000400,2015,property-crime,CT,42,147
2,CT0000700,2015,property-crime,CT,78,324
3,CT0000900,2015,property-crime,CT,44,170
4,CT0001100,2015,property-crime,CT,103,515
5,CT0001400,2015,property-crime,CT,207,691
6,CT0001500,2015,property-crime,CT,237,3496
7,CT0001700,2015,property-crime,CT,247,1226
8,CT0001800,2015,property-crime,CT,36,141
9,CT0002300,2015,property-crime,CT,19,49
10,CT0002500,2015,property-crime,CT,48,194
11,CT0002700,2015,property-crime,CT,84,293
12,CT0003200,2015,property-crime,CT,12,92
13,CT0003300,2015,property-crime,CT,104,332
14,CT0003400,2015,property-crime,CT,359,1362
15,CT0003500,2015,property-crime,CT,20,222
16,CT0003700,2015,property-crime,CT,90,362
17,CT0004200,2015,property-crime,CT,15,88
18,CT0004300,2015,property-crime,CT,162,1105
19,CT0004400,2015,property-crime,CT,106,687
0,CT0000200,2016,property-crime,CT,54,332
1,CT0000400,2016,property-crime,CT,14,132
2,CT0000700,2016,property-crime,CT,64,325
3,CT0000900,2016,property-crime,CT,21,162
4,CT0001100,2016,property-crime,CT,120,520
5,CT0001400,2016,property-crime,CT,168,543
6,CT0001500,2016,property-crime,CT,314,3258
7,CT0001700,2016,property-crime,CT,243,955
8,CT0001800,2016,property-crime,CT,37,127
9,CT0002300,2016,property-crime,CT,36,121
10,CT0002500,2016,property-crime,CT,41,245
11,CT0002700,2016,property-crime,CT,62,281
12,CT0003200,2016,property-crime,CT,11,127
13,CT0003300,2016,property-crime,CT,128,371
14,CT0003400,2016,property-crime,CT,335,1363
15,CT0003500,2016,property-crime,CT,23,243
16,CT0003700,2016,property-crime,CT,49,298
17,CT0004200,2016,property-crime,CT,16,108
18,CT0004300,2016,property-crime,CT,183,1311
19,CT0004400,2016,property-crime,CT,121,657
0,CT0000200,2017,property-crime,CT,77,355
1,CT0000400,2017,property-crime,CT,20,166
2,CT0000700,2017,property-crime,CT,77,401
3,CT0000900,2017,property-crime,CT,42,173
4,CT0001100,2017,property-crime,CT,99,585
5,CT0001400,2017,property-crime,CT,158,557
6,CT0001500,2017,property-crime,CT,308,3416
7,CT0001700,2017,property-crime,CT,214,1026
8,CT0001800,2017,property-crime,CT,29,122
9,CT0002300,2017,property-crime,CT,14,66
10,CT0002500,2017,property-crime,CT,39,176
11,CT0002700,2017,property-crime,CT,118,314
12,CT0003200,2017,property-crime,CT,10,106
13,CT0003300,2017,property-crime,CT,61,260
14,CT0003400,2017,property-crime,CT,265,1106
15,CT0003500,2017,property-crime,CT,28,275
16,CT0003700,2017,property-crime,CT,51,307
17,CT0004200,2017,property-crime,CT,9,62
18,CT0004300,2017,property-crime,CT,182,1229
19,CT0004400,2017,property-crime,CT,102,608
0,CT0000200,2018,property-crime,CT,77,443
1,CT0000400,2018,property-crime,CT,28,185
2,CT0000700,2018,property-crime,CT,46,288
3,CT0000900,2018,property-crime,CT,40,144
4,CT0001100,2018,property-crime,CT,88,584
5,CT0001400,2018,property-crime,CT,118,477
6,CT0001500,2018,property-crime,CT,164,2829
7,CT0001700,2018,property-crime,CT,193,970
8,CT0001800,2018,property-crime,CT,49,158
9,CT0002300,2018,property-crime,CT,8,72
10,CT0002500,2018,property-crime,CT,36,244
11,CT0002700,2018,property-crime,CT,86,323
12,CT0003200,2018,property-crime,CT,11,91
13,CT0003300,2018,property-crime,CT,60,248
14,CT0003400,2018,property-crime,CT,289,1159
15,CT0003500,2018,property-crime,CT,26,260
16,CT0003700,2018,property-crime,CT,51,291
17,CT0004200,2018,property-crime,CT,18,125
18,CT0004300,2018,property-crime,CT,152,1207
19,CT0004400,2018,property-crime,CT,84,592
0,CT0000200,2019,property-crime,CT,41,277
1,CT0000400,2019,property-crime,CT,29,209
2,CT0000700,2019,property-crime,CT,54,251
3,CT0000900,2019,property-crime,CT,30,125
4,CT0001100,2019,property-crime,CT,110,500
5,CT0001400,2019,property-crime,CT,105,386
6,CT0001500,2019,property-crime,CT,146,2465
7,CT0001700,2019,property-crime,CT,160,822
8,CT0001800,2019,property-crime,CT,45,143
9,CT0002300,2019,property-crime,CT,16,56
10,CT0002500,2019,property-crime,CT,24,207
11,CT0002700,2019,property-crime,CT,67,232
12,CT0003200,2019,property-crime,CT,9,132
13,CT0003300,2019,property-crime,CT,168,363
14,CT0003400,2019,property-crime,CT,250,1045
15,CT0003500,2019,property-crime,CT,22,267
16,CT0003700,2019,property-crime,CT,39,240
17,CT0004200,2019,property-crime,CT,5,104
18,CT0004300,2019,property-crime,CT,108,775
19,CT0004400,2019,property-crime,CT,104,572
0,DE0010100,2010,violent-crime,DE,176,236
1,DE0010200,2010,violent-crime,DE,16,24
2,DE0010300,2010,violent-crime,DE,37,55
3,DE0010400,2010,violent-crime,DE,7,13
4,DE0010600,2010,violent-crime,DE,6,8
5,DE0010700,2010,violent-crime,DE,0,0
6,DE0011700,2010,violent-crime,DE,0,0
7,DE0011800,2010,violent-crime,DE,1,1
8,DE0012000,2010,violent-crime,DE,11,32
9,DE0012100,2010,violent-crime,DE,1,0
10,DE0012300,2010,violent-crime,DE,3,3
11,DE0012600,2010,violent-crime,DE,3,3
12,DE0013100,2010,violent-crime,DE,1,1
13,DE0013200,2010,violent-crime,DE,7,10
14,DE0020100,2010,violent-crime,DE,1,1
15,DE0020200,2010,violent-crime,DE,54,67
16,DE0020300,2010,violent-crime,DE,760,1262
17,DE0020400,2010,violent-crime,DE,19,24
18,DE0020500,2010,violent-crime,DE,92,140
19,DE0020600,2010,violent-crime,DE,563,1407
0,DE0010100,2011,violent-crime,DE,211,314
1,DE0010200,2011,violent-crime,DE,23,29
2,DE0010300,2011,violent-crime,DE,48,63
3,DE0010400,2011,violent-crime,DE,14,11
4,DE0010600,2011,violent-crime,DE,5,7
5,DE0010700,2011,violent-crime,DE,6,6
6,DE0011700,2011,violent-crime,DE,0,0
7,DE0011800,2011,violent-crime,DE,1,1
8,DE0012000,2011,violent-crime,DE,9,18
9,DE0012100,2011,violent-crime,DE,2,4
10,DE0012300,2011,violent-crime,DE,3,5
11,DE0012600,2011,violent-crime,DE,0,2
12,DE001300X,2011,violent-crime,DE,0,0
13,DE0013100,2011,violent-crime,DE,2,3
14,DE0013200,2011,violent-crime,DE,10,11
15,DE0020100,2011,violent-crime,DE,1,1
16,DE0020200,2011,violent-crime,DE,70,82
17,DE0020300,2011,violent-crime,DE,470,1143
18,DE0020400,2011,violent-crime,DE,15,19
19,DE0020500,2011,violent-crime,DE,89,136
0,DE0010100,2012,violent-crime,DE,208,281
1,DE0010200,2012,violent-crime,DE,23,30
2,DE0010300,2012,violent-crime,DE,23,40
3,DE0010400,2012,violent-crime,DE,15,17
4,DE0010600,2012,violent-crime,DE,12,13
5,DE0010700,2012,violent-crime,DE,7,8
6,DE0010900,2012,violent-crime,DE,0,0
7,DE0011700,2012,violent-crime,DE,0,0
8,DE0011800,2012,violent-crime,DE,1,4
9,DE0012000,2012,violent-crime,DE,11,18
10,DE0012100,2012,violent-crime,DE,6,6
11,DE0012300,2012,violent-crime,DE,0,0
12,DE0012600,2012,violent-crime,DE,2,2
13,DE001300X,2012,violent-crime,DE,0,0
14,DE0013100,2012,violent-crime,DE,0,1
15,DE0013200,2012,violent-crime,DE,10,12
16,DE0020100,2012,violent-crime,DE,1,2
17,DE0020200,2012,violent-crime,DE,38,59
18,DE0020300,2012,violent-crime,DE,761,1085
19,DE0020400,2012,violent-crime,DE,14,18
0,DE0010100,2013,violent-crime,DE,204,264
1,DE0010200,2013,violent-crime,DE,19,25
2,DE0010300,2013,violent-crime,DE,48,69
3,DE0010400,2013,violent-crime,DE,4,7
4,DE0010600,2013,violent-crime,DE,8,8
5,DE0010700,2013,violent-crime,DE,3,5
6,DE0010800,2013,violent-crime,DE,0,0
7,DE0011700,2013,violent-crime,DE,0,0
8,DE0011800,2013,violent-crime,DE,1,0
9,DE0012000,2013,violent-crime,DE,3,14
10,DE0012100,2013,violent-crime,DE,0,1
11,DE0012300,2013,violent-crime,DE,1,1
12,DE0012600,2013,violent-crime,DE,5,6
13,DE001300X,2013,violent-crime,DE,0,0
14,DE0013100,2013,violent-crime,DE,4,5
15,DE0013200,2013,violent-crime,DE,7,13
16,DE0020100,2013,violent-crime,DE,0,0
17,DE0020200,2013,violent-crime,DE,36,48
18,DE0020300,2013,violent-crime,DE,730,993
19,DE0020400,2013,violent-crime,DE,14,19
0,DE0010100,2014,violent-crime,DE,188,240
1,DE0010200,2014,violent-crime,DE,15,22
2,DE0010300,2014,violent-crime,DE,50,62
3,DE0010400,2014,violent-crime,DE,6,11
4,DE0010600,2014,violent-crime,DE,7,8
5,DE0010700,2014,violent-crime,DE,3,4
6,DE0010800,2014,violent-crime,DE,0,0
7,DE0011700,2014,violent-crime,DE,0,0
8,DE0011800,2014,violent-crime,DE,0,1
9,DE0011900,2014,violent-crime,DE,1,1
10,DE0012000,2014,violent-crime,DE,8,15
11,DE0012200,2014,violent-crime,DE,2,6
12,DE0012300,2014,violent-crime,DE,0,2
13,DE0012600,2014,violent-crime,DE,4,4
14,DE001300X,2014,violent-crime,DE,0,0
15,DE0013100,2014,violent-crime,DE,2,2
16,DE0013200,2014,violent-crime,DE,10,13
17,DE0013300,2014,violent-crime,DE,0,0
18,DE0020100,2014,violent-crime,DE,1,3
19,DE0020200,2014,violent-crime,DE,52,61
0,DE0010100,2015,violent-crime,DE,195,285
1,DE0010200,2015,violent-crime,DE,25,33
2,DE0010300,2015,violent-crime,DE,36,53
3,DE0010400,2015,violent-crime,DE,10,12
4,DE0010600,2015,violent-crime,DE,6,7
5,DE0010700,2015,violent-crime,DE,3,3
6,DE0010800,2015,violent-crime,DE,0,0
7,DE0011700,2015,violent-crime,DE,4,4
8,DE0011800,2015,violent-crime,DE,2,2
9,DE0011900,2015,violent-crime,DE,0,0
10,DE0012000,2015,violent-crime,DE,5,22
11,DE0012200,2015,violent-crime,DE,3,3
12,DE0012300,2015,violent-crime,DE,0,1
13,DE0012600,2015,violent-crime,DE,3,3
14,DE001300X,2015,violent-crime,DE,0,0
15,DE0013100,2015,violent-crime,DE,3,4
16,DE0013200,2015,violent-crime,DE,7,18
17,DE0020100,2015,violent-crime,DE,2,2
18,DE0020200,2015,violent-crime,DE,57,72
19,DE0020300,2015,violent-crime,DE,650,1015
0,DE0010100,2016,violent-crime,DE,223,308
1,DE0010200,2016,violent-crime,DE,21,34
2,DE0010300,2016,violent-crime,DE,43,70
3,DE0010400,2016,violent-crime,DE,12,13
4,DE0010600,2016,violent-crime,DE,6,6
5,DE0010700,2016,violent-crime,DE,2,4
6,DE0010800,2016,violent-crime,DE,0,0
7,DE0010900,2016,violent-crime,DE,0,0
8,DE0011700,2016,violent-crime,DE,0,0
9,DE0011800,2016,violent-crime,DE,2,3
10,DE0012000,2016,violent-crime,DE,11,9
11,DE0012200,2016,violent-crime,DE,1,1
12,DE0012300,2016,violent-crime,DE,1,3
13,DE0012600,2016,violent-crime,DE,1,2
14,DE001300X,2016,violent-crime,DE,0,1
15,DE0013100,2016,violent-crime,DE,5,6
16,DE0013200,2016,violent-crime,DE,3,4
17,DE0013300,2016,violent-crime,DE,0,0
18,DE001500X,2016,violent-crime,DE,0,0
19,DE0020100,2016,violent-crime,DE,4,4
0,DE0010100,2017,violent-crime,DE,201,266
1,DE0010200,2017,violent-crime,DE,10,20
2,DE0010300,2017,violent-crime,DE,51,70
3,DE0010400,2017,violent-crime,DE,9,16
4,DE0010600,2017,violent-crime,DE,12,13
5,DE0010700,2017,violent-crime,DE,4,2
