,ori,data_year,offense,state_abbr,cleared,actual
15,AL0011800,2015,violent-crime,AL,1,57
16,AL0011900,2015,violent-crime,AL,14,53
17,AL0012000,2015,violent-crime,AL,1,7
18,AL0012200,2015,violent-crime,AL,6,25
19,AL0012300,2015,violent-crime,AL,5,16
0,AL0010000,2016,violent-crime,AL,240,693
1,AL0010100,2016,violent-crime,AL,11,763
2,AL0010200,2016,violent-crime,AL,887,3420
3,AL0010300,2016,violent-crime,AL,9,14
4,AL0010400,2016,violent-crime,AL,16,98
5,AL0010500,2016,violent-crime,AL,75,110
6,AL0010600,2016,violent-crime,AL,19,82
7,AL0010700,2016,violent-crime,AL,7,66
8,AL0010800,2016,violent-crime,AL,36,71
9,AL0010900,2016,violent-crime,AL,18,25
10,AL0011000,2016,violent-crime,AL,19,84
11,AL0011100,2016,violent-crime,AL,20,50
12,AL0011200,2016,violent-crime,AL,64,104
13,AL0011300,2016,violent-crime,AL,35,72
14,AL0011400,2016,violent-crime,AL,2,27
15,AL0011800,2016,violent-crime,AL,0,6
16,AL0011900,2016,violent-crime,AL,26,65
17,AL0012000,2016,violent-crime,AL,5,12
18,AL0012100,2016,violent-crime,AL,0,1
19,AL0012200,2016,violent-crime,AL,11,19
0,AL0010000,2017,violent-crime,AL,234,700
1,AL0010100,2017,violent-crime,AL,12,787
2,AL0010200,2017,violent-crime,AL,446,2415
3,AL0010300,2017,violent-crime,AL,6,10
4,AL0010400,2017,violent-crime,AL,50,205
5,AL0010500,2017,violent-crime,AL,23,45
6,AL0010600,2017,violent-crime,AL,22,83
7,AL0010700,2017,violent-crime,AL,7,64
8,AL0010800,2017,violent-crime,AL,66,106
9,AL0010900,2017,violent-crime,AL,17,24
10,AL0011000,2017,violent-crime,AL,16,62
11,AL0011100,2017,violent-crime,AL,21,48
12,AL0011200,2017,violent-crime,AL,53,99
13,AL0011300,2017,violent-crime,AL,17,54
14,AL0011400,2017,violent-crime,AL,0,11
15,AL0011900,2017,violent-crime,AL,23,89
16,AL0012000,2017,violent-crime,AL,5,13
17,AL0012100,2017,violent-crime,AL,8,41
18,AL0012200,2017,violent-crime,AL,8,25
